Region,Display_Name,Region_Source,Population,Lat,Long,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,Today,Region_Total,FHM_Today,Diff,Region_Deaths
Region Blekinge,Blekinge,https://regionblekinge.se/om-webb-platsen/nyheter/nyheter-och-pressmeddelande.html,159606,56.16156,15.58661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,2,1,0,0,1,0,0,0,0,12,12,0,0
Region Dalarna,Dalarna,https://www.regiondalarna.se/press/nyheter-och-pressmeddelanden/,287966,60.602778,15.656111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,2,5,2,1,0,9,5,30,30,0,1
Region Gotland,Gotland,https://www.gotland.se/nyhetsarkiv,59686,57.628889,18.307222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,5,5,0,0
Region Gävleborg,Gävleborg,https://www.regiongavleborg.se/nyheter/,287382,60.674722,17.144444,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,1,1,1,4,2,2,3,4,0,3,27,27,0,0
Region Halland,Halland,https://press.regionhalland.se/,333848,56.658333,12.900278,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,15,9,0,0,3,1,5,1,4,1,3,5,0,63,63,0,0
Region Jämtland Härjedalen,Jämtland Härjedalen,https://www.regionjh.se/press/press.4.7f464a791555012adc8837.html,130810,63.158056,14.679167,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,4,3,3,3,2,5,1,2,3,4,15,0,10,0,56,55,-1,0
Region Jönköpings län,Jönköping,https://www.rjl.se/nyheter/nyheter-och-pressmeddelanden/,363599,57.78145,14.15618,1,0,0,1,0,0,0,1,0,0,5,0,0,2,0,3,13,7,5,0,4,1,1,2,2,3,4,1,3,59,59,0,0
Region Kalmar län,Kalmar län,https://www.regionkalmar.se/nyhetslista/,245446,56.669444,16.321667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,2,0,0,1,1,1,1,1,2,0,14,15,1,0
Region Kronoberg,Kronoberg,http://www.regionkronoberg.se/nyheter/,201469,56.889167,14.802778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,2,0,1,2,2,0,2,0,0,0,0,0,19,18,-1,0
Region Norrbotten,Norrbotten,https://www.norrbotten.se/sv/Om-Region-Norrbotten/Press/Pressmeddelanden-2020/,250093,65.584819,22.1567026,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,0,2,0,0,2,0,3,4,5,0,0,3,25,25,0,0
