Region,Display_Name,Population,Lat,Long,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,Today,Region_Total,FHM_Today,Diff,Region_Deaths,FHM_Deaths_Today,At_Hospital,At_ICU,Hospital_Total,ICU_Capacity_2017,FHM_ICU_Est,Tests
Region Blekinge,Blekinge,159606,56.16156,15.58661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,2,1,0,0,1,0,0,0,0,0,3,0,0,2,4,0,5,1,3,0,1,5,1,0,2,0,2,1,0,0,1,0,0,0,0,0,1,4,6,2,7,0,1,0,3,6,0,0,1,0,0,3,0,3,2,3,0,0,4,4,1,6,2,1,0,6,23,1,7,4,3,3,15,16,11,10,6,7,3,218,218,0,5,0,7,1,8,6,18,
Region Dalarna,Dalarna,287966,60.602778,15.656111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,2,5,2,1,0,9,5,10,14,8,14,6,11,9,23,18,7,13,14,21,17,25,29,27,17,12,20,23,17,31,19,13,35,13,16,34,34,32,28,45,15,11,34,53,0,2,3,53,27,30,23,19,0,0,31,3,19,22,14,0,0,28,9,17,0,35,0,0,22,5,11,3,16,10,15,2,10,1227,1227,0,143,0,30,2,32,14,30,
Region Gotland,Gotland,59686,57.628889,18.307222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,2,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,2,2,0,6,5,5,5,0,2,0,6,3,0,2,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,4,5,0,3,84,84,0,6,0,1,0,1,2,6,
Region Gävleborg,Gävleborg,287382,60.674722,17.144444,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,1,1,1,4,2,2,3,4,0,3,5,7,5,9,13,9,11,15,30,16,30,0,5,12,14,19,18,18,10,17,11,15,19,22,16,29,9,17,15,24,8,16,23,6,14,13,20,33,11,14,10,26,9,30,28,18,56,3,28,15,34,35,33,24,5,22,26,28,23,22,23,5,26,19,29,31,25,27,8,20,1313,1313,0,106,0,23,10,33,16,30,9999
Region Halland,Halland,333848,56.658333,12.900278,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,15,9,0,0,3,1,5,1,4,1,3,5,1,2,11,4,0,6,5,11,1,4,10,8,1,9,10,13,13,3,8,0,6,3,6,6,13,7,7,10,10,17,20,11,1,0,13,32,4,18,4,6,8,2,11,21,22,13,14,5,8,10,9,11,18,9,12,8,20,14,40,7,8,6,7,8,25,30,28,11,11,12,22,807,803,-4,55,0,17,4,21,13,30,
Region Jämtland Härjedalen,Jämtland,130810,63.158056,14.679167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,3,2,5,1,2,3,4,15,0,10,3,4,3,2,3,6,7,2,0,4,1,0,4,2,8,4,4,8,7,2,3,7,20,15,15,20,6,5,0,13,15,13,2,23,0,6,3,49,0,0,3,14,19,8,20,9,15,4,13,13,11,24,22,2,14,18,5,14,20,14,19,2,10,14,5,22,16,14,13,7,13,742,742,0,32,0,7,4,11,M,13,6945
Region Jönköpings län,Jönköping,363599,57.78145,14.15618,1,0,0,1,0,0,0,1,0,0,5,0,0,2,0,3,13,7,5,0,4,1,1,2,2,3,4,1,3,6,5,9,15,9,6,17,16,13,32,12,24,10,21,16,25,22,19,4,10,5,12,28,22,33,39,16,17,37,33,44,25,19,2,30,17,43,17,32,18,7,19,22,32,16,28,4,31,17,29,37,30,15,21,21,14,38,32,24,12,6,29,36,42,48,37,22,30,16,18,1572,1572,0,140,0,35,13,48,15,40,
Region Kalmar län,Kalmar län,245446,56.669444,16.321667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,2,0,0,1,1,1,1,1,2,1,3,3,4,3,2,1,3,4,4,5,0,2,6,2,4,2,1,1,3,2,10,2,2,5,2,3,4,10,7,13,9,2,1,6,5,4,12,5,7,0,8,9,4,5,8,5,6,2,7,4,1,6,6,4,3,6,1,4,0,7,4,1,20,12,14,18,4,1,3,10,362,362,0,36,0,17,0,17,11,25,2006
Region Kronoberg,Kronoberg,201469,56.889167,14.802778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,2,0,1,2,2,0,2,0,0,0,0,0,1,3,0,5,1,4,1,5,1,7,3,1,2,7,10,8,4,16,0,0,5,8,11,18,16,8,11,9,14,13,26,14,8,4,21,13,14,1,20,5,17,14,24,22,45,4,32,8,17,25,25,21,27,5,13,14,27,0,30,9,2,32,10,20,18,18,15,8,11,13,863,855,-8,70,0,24,6,30,8,20,
Region Norrbotten,Norrbotten,250093,65.584819,22.1567026,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,2,0,0,2,0,3,4,5,0,0,3,10,5,3,0,1,9,6,6,5,8,0,2,9,12,15,12,5,6,1,3,13,8,3,13,12,4,0,10,4,5,15,8,0,2,11,1,7,9,7,1,1,4,7,8,5,4,0,2,11,4,12,6,2,4,0,3,2,5,9,0,4,1,8,7,10,6,21,3,0,21,446,437,-9,46,0,13,5,18,17,25,
Region Skåne,Skåne,1377827,55.6087551,13.000484099,0,0,0,0,0,0,0,1,1,7,5,3,5,0,3,35,38,33,44,22,9,3,0,7,4,3,5,3,7,8,10,8,10,2,5,3,7,8,8,25,11,6,6,26,14,10,25,6,14,9,22,17,19,11,16,6,9,16,17,17,39,12,24,33,35,37,33,11,28,6,40,25,41,31,22,25,19,22,36,36,36,42,20,13,29,57,46,23,45,27,11,32,43,35,37,46,33,16,38,1793,1793,0,196,0,64,14,78,54,160,11395
Region Stockholm,Stockholm,2377081,59.334591,18.06324,0,0,1,2,1,0,1,10,16,28,21,21,14,32,60,26,34,41,33,18,18,33,36,55,105,55,99,56,143,111,146,95,227,119,149,173,245,215,223,187,167,127,136,298,254,230,144,192,178,231,184,216,181,264,175,166,197,212,280,286,181,142,88,244,213,198,172,129,71,131,150,147,194,200,234,75,71,222,169,190,123,114,65,59,119,115,126,111,61,130,60,148,154,79,259,149,89,59,125,12333,12333,0,2081,0,580,105,685,90,250,
Region Sörmland,Sörmland,297540,58.7556833,16.9947833,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,6,8,3,5,0,4,1,5,4,6,11,2,19,29,12,33,1,43,36,37,59,63,14,12,28,26,61,29,29,42,22,7,26,17,66,54,23,18,12,14,46,60,53,24,8,3,15,69,39,7,55,3,5,29,33,25,9,22,6,3,13,37,12,5,15,7,0,6,37,3,16,0,0,2,26,1,20,8,3,2,9,5,1639,1639,0,224,0,73,24,97,14,30,
Region Uppsala,Uppsala,383713,59.85882,17.63889,0,0,1,1,0,0,0,0,0,2,1,0,1,2,0,3,14,0,11,2,8,0,6,15,6,1,3,5,11,9,15,12,20,7,4,23,11,37,16,27,19,15,24,46,44,9,6,12,16,22,30,42,37,28,25,25,35,30,32,42,49,13,8,47,39,23,41,12,12,11,21,57,33,43,19,46,24,23,33,28,35,22,38,4,43,53,33,38,0,1,59,26,49,33,39,15,38,41,35,1997,1968,-29,182,0,60,18,78,25,40,
Region Värmland,Värmland,282414,59.3875,13.51,0,0,0,0,0,0,0,0,2,3,8,0,7,1,1,2,3,2,1,0,1,3,0,2,0,1,2,1,2,3,0,0,1,2,1,1,0,2,1,0,2,1,2,7,1,4,3,2,4,3,2,6,4,3,4,4,6,7,6,2,4,5,2,10,21,8,9,13,5,4,13,20,10,3,10,5,3,13,6,5,14,13,2,0,11,12,24,14,2,19,1,12,30,10,26,37,10,10,7,549,549,0,33,0,22,3,25,13,30,5300
Region Västerbotten,Västerbotten,271736,63.828333,20.270556,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,1,2,2,0,5,1,4,4,2,0,1,0,3,6,3,0,5,3,5,8,7,12,15,17,12,5,14,12,12,12,1,1,4,5,14,14,10,8,3,3,5,5,19,9,10,4,3,4,19,4,1,3,0,2,4,7,7,7,7,1,1,11,14,10,11,5,2,3,16,5,13,3,6,3,0,2,13,2,6,7,3,0,501,500,-1,26,0,5,6,11,21,25,
